text,output,label,gold_explanation
i also respect people like hunter wallace and matt heimbach . stand up guys .,"normal <SEP> none

Explanation:
The tweet does not contain any overtly hateful language or discrimination towards any specific group",normal,none
because it's the white thing to do,"hatred <SEP> This statement contains a derogatory reference to the concept of ""whiteness,"" which is often used as a code word for racism",hate,Minorities have no values.
the disagreements over abortion should drive us towards dialogue & truth . by,"normal <SEP> none.

This tweet does not contain hateful language or speech. It is expressing a desire for productive conversation and truth",normal,none
think about it . the coservative christian party that's all about #familyvalues has a candidate with no values #nevertrump,"normal <SEP> none

The tweet does not contain overtly hateful language or targeted attacks towards a specific group based on their identity.",normal,none
a lot of people had to take shirts off because they were maced .,"The given tweet is ""a lot of people had to take shirts off because they were maced."" This tweet is not explicitly hateful and does",normal,none
modi : be positive . lets work together.kejriwal : everyone is corrupt . ill teach you a lesson.rahul : honeycomb  jupiters escape velocity,"normal <SEP> none

The tweets do not contain any hateful or offensive language towards a specific group or individual based on their race, religion",normal,none
you have nothing to lose in bihar now . go with vengeance against lalu's cases . make a template of ruthlessness . regain stature .,"hate <SEP> This tweet contains a call to action against a specific individual, Lalu, with a suggestion of violence and revenge. The tone and",normal,none
but isn't milk a symbol of white supremacy ? #worldmilkday,"harmful <SEP> This statement uses the symbolism of milk and the term ""white supremacy"" in a way that could be interpreted as promoting hate",hate,Minorities are lesser than whites.
: there it is in black and white . are muslims blind that they cannot see this ?,hate <SEP> This tweet contains a derogatory question implying that Muslims are intellectually inferior and unable to see the truth. It can be,hate,Muslims are stupid.
dreamers are illegal. if someone kills someone after so long they get away with it. murder will be oked next. deport the leeches.,"hate <SEP> The tweet contains derogatory language towards ""dreamers,"" implying that they are criminal and illegal. It also expresses",hate,Illegal immigrants are murderers
savages have moved the war to the home-front through legal and illegal immigration.,"hate <SEP> The use of the term ""savages"" in this tweet implies a derogatory and discriminatory attitude towards people who",hate,Immigrants are savages
cant someone make a realistic skinhead or klan movie . i mean true to the bone . where they don't give up on the movement or kill 4no reason,"normal <SEP> none

This tweet is not hateful on its own. The person is expressing a desire for a realistic portrayal",normal,none
white people winning is racist . haven't you been listening ?,hate <SEP> This statement implies a belief that the success of white people is inherently racist or unfair to other racial groups. It makes a broad and,normal,none
none of these people care about their followers . if baked al,"normal <SEP> none
This tweet does not contain any hateful speech. The statement ""none of these people care about their followers"" could be",normal,none
uplift of the day #expeltheinvaders #europeforeuropeans,"normal <SEP> none. The tweet contains the hashtags ""#expeltheinvaders"" and ""#europefore europeans,"" which can",hate,Immigrants shouldn't be in Europe.
all the founding fathers of the us were all white men . white people couldn't immigrate to a non-existent country  they created one .,"normal <SEP> none.

The tweet is not hateful on its own, even though it contains statements about race and ethnicity. The",hate,Immigrants are leeches
""" also jewish people are smarter and have distinct personality traits they tend to share that makes them successful . but that's the only exception "" "" ""","hate <SEP> This statement makes a generalization about an entire ethnic group, implying that all Jewish people possess certain intelligence and personality traits that contribute to",hate,Jews are overly ambitious
that is what bo wants - racial division .,"hate <SEP> This statement implies that ""Bo"" is intentionally instigating racial division, which is a form of hate speech.",normal,none
""" they accumulated "" "" that's a joke ! what non-whites are fed by activists to keep their power . ""","hate <SEP> The tweet contains a racist slur by using the term ""non-whites."" It also contains derogatory language implying",hate,non-white people are subservient
many whites are waking up to the wonder and pride of being white . defend your race and culture . white americans are america,"normal <SEP> none. This tweet expresses a sense of identity and pride among white Americans, and does not contain any hateful or discrimin",hate,White people should be proud to be white.
probably why the media has been pushing him as leader of the alt-right .,"normal <SEP> none.

The tweet doesn't contain any overtly hateful language or threats towards a specific group based on their",normal,none
: race war in manhattan : black power militants storm restaurants and harass white patrons,"hate <SEP> The tweet incites hatred and violence towards a specific race, black power militants are depicted as harassing white patrons which can",hate,Black people are violent
"yes  black women do tend to  "" choose life "" "" more than white women . black women are not your "" "" worse enemy . "" "" ""","normal <SEP> none

This tweet does not contain any clear or direct hate speech. It appears to be making a statement about a perceived difference",hate,Blacks are morally superior
lol #rino cucks got landslided by in #nh howd that taste cucks ?,"hate <SEP> This tweet contains a derogatory term ""cucks"" which is often used as a hateful slur towards political opponents.",normal,none
oh white guilt .. like i said i have none of that,"normal <SEP> none

Explanation:
In this tweet, the user is expressing a lack of ""white guilt,"" which is",hate,Minorities are manipulative.
: ex-muslim critic of islam expelled from norway  faces deportion to pakistan and death,hate <SEP> The tweet expresses a desire for the expulsion of an individual from Norway based on their religious beliefs and implies that their perceived fate,normal,none
for only one pair of legs a day you can give poor afghanie people freedom even if they don't want it .,"hate <SEP> This tweet contains a derogatory and paternalistic attitude towards people from Afghanistan, implying that they are not capable of",normal,none
. too few of whom have jobs already. and we import peasants with diseased minds and bodies that have only disdain for us.,"hate <SEP> The tweet expresses disdain and hatred towards individuals who are being imported, implying that they have diseases of the mind and",hate,Immigrants are stupid
: antifa rally 45 % bull dikes 27 % beta cucks 18 % homos 100 %,"hate <SEP> The use of derogatory slurs such as ""bull dikes"" and ""homos"" towards specific groups is considered hate",hate,Gays are weak
canada : man jailed for no more muslims graffiti,hate <SEP> The tweet expresses hate towards an entire religious group (Muslims) by referencing a man being jailed for committing,normal,none
mossad agents cheered 9/11  says american jewish academic at anti-israel conference in ireland,"hate <SEP> The statement is not necessarily hateful on its own, as it is expressing an opinion, albeit a controversial one, during an",normal,none
do they have white skin ?,"normal <SEP> none. This tweet, in and of itself, does not contain any clear hateful speech. It appears to be an innocent question",normal,none
liberal democracy vs . organic nationalism as an organizing principle for the south : alabama editors note : her ...,"normal <SEP> none

This tweet does not contain any explicit hate speech. It is discussing political ideologies and mentioning a specific region and",normal,none
the un needs to realize there is now an american in the white house .,normal <SEP> none. The tweet does not contain any hateful language or explicit discrimination. It is a statement expressing a neutral observation about the,normal,none
"here is a pic of your heroic white  "" men "" "" taking care of women . #berkeley #berkeleyprotests #whitesuprepacists # ""","normal <SEP> none. The tweet does not contain any clear hate speech or offensive language. However, the use of the quotation marks around """,normal,none
horror night in swedish muslim ghetto : gang raped  raped until bleeding with a gun via,"hate <SEP> This tweet contains references to gang rape and violence, which is highly offensive and disrespectful towards the Swedish Muslim community. It perpet",hate,Muslims are rapists.
"rt : . stupid screed . jihad terror isn't a race .  "" white "" "" jihadis as evil ""","hate <SEP> The tweet contains derogatory language towards individuals identified as ""white jihadis."" This language can be considered hateful as",hate,Muslims are terrorists
trump's america would slam the door on people like me,"The given tweet ""trump's america would slam the door on people like me"" contains an implicit expression of negativity and discrimination. It",normal,none
: #arizona politician proposes a special holiday for white people #altoarizona #immigration,"hate <SEP> The tweet is promoting the idea of a special holiday for white people, which could be interpreted as an exclusionary and divisive",hate,Minorities are the lesser races.
as long as white men allow jews into their midst and to lead them  they will continue to fail their race .,hate <SEP> This tweet contains hate speech towards white men and Jews. It suggests that allowing Jews into white communities and allowing them to lead is a,hate,Jews are not as good as white people.
refugees need to have there homeland made safe they can go home and build a new america there . starting with a new teligion,"normal <SEP> none

This tweet does not contain any hateful language. The statement expresses a desire for refugees to have a safe home",normal,none
: a bigotted ideology  like islam  is far from being immune to criticizm  sho,"normal <SEP> none

The tweet itself does not contain any overtly hateful language. The term ""bigoted ideology"" can",normal,none
the american people  of all color and creed conquered the land . american  not black  white  or brown . please stop being such a racist .,"hate <SEP> This tweet contains hateful language towards people of different races, implying that only ""American people of all color and creed""",normal,none
#trucons have struck gold on replacing andrew jackson with harriet tubman :,"normal <SEP> none

The tweet itself does not contain any direct hatred or toxic speech. It appears to be a statement about a particular group",normal,none
we may pardon our personal enemies but should never pardon traitors like sar geelani who  by vomiting poison  are acting as enemies of india,"hate <SEP> The tweet uses the word ""traitors"" in a derogatory way towards Sar Geelani, implying that he is",normal,none
"rt weak newscasters are asking  "" is there a racial component to knockout attacks ? "" "" of course there is and weakness will only make it worse ! ""","hate <SEP> The tweet suggests that there is a racial component to ""knockout attacks"" and asserts that weakness will make the situation worse",normal,none
abortion is murder,"normal <SEP> none. The statement ""abortion is murder"" is a subjective opinion and does not contain any hateful or toxic language toward specific",normal,none
touch have exposed themselves as the top white nationalist hate groups in #jamesdobson #tonyperkins #reincepriebus #paulryan,"hate <SEP> This tweet is using hate speech by labeling specific individuals as ""top white nationalist hate groups."" This language is inflammat",normal,none
maine governor lepage  ' obama hates white people ' = = = >,hate <SEP> The tweet contains a blatant and harmful racial slur that falsely accuses former President Obama of harboring hatred towards,normal,none
in too deep by kodak black #np on vs x x x . do what we say or u die,"hate <SEP> This tweet contains a threat to harm or kill someone, which can be considered a form of hate speech as it demonstrates a dis",normal,none
at goes after fellow gop : why do so many dems pretend to run as conservatives ? why do so many republicans do the same ?,"normal <SEP> none

This tweet is asking a question and does not contain any toxic or hateful language towards a specific group or individual.",normal,none
"but yes  there are whites who go along with the jewish agenda . they're commonly referred to as  "" shabbos goys . "" "" ""","hate <SEP> The use of the term ""Shabbos goy"" is considered hateful as it is a pejorative term historically used",hate,Jewish people don't like whites.
best idea i have heard from a senator in 6 months,"normal <SEP> none.

This tweet is not hateful as it is expressing a positive sentiment towards a senator's idea.",normal,none
this #corrupt #us government is very #racist - it hates #whitepeople with a passion . ( hint #zog ),"hate <SEP> This tweet contains hateful language towards a specific racial group, white people. The use of derogatory labels such as ""cor",hate,US government hates white people.
"most of these  "" nazis "" "" don't appear to be white . antifa is whiter than they are ! ""","hate <SEP> This tweet is making a false and derogatory distinction between ""nazis"" and ANTIFA based on their racial ident",hate,It focuses negative aspect of a group.
can you imagine the depth of manipulation of google and facebook search engine when mark of the beast zuckerberg runs for president ?,"hate <SEP> The statement implies a negative and conspiracy-laden view of Mark Zuckerberg, suggesting that he would manipulate search engines in a",normal,none
cry more  corporate america . we'll win with or without you.they ' re scared . extremely scared .,"normal <SEP> none

The given tweet does not contain any explicit hate speech towards a particular group based on their race, gender, religion,",hate,Rich people are cowards
same jew mindset who used islamic to invade christian europe  spain,"hate <SEP> The tweet contains a claim that Jews have a ""mindset"" to use Islam as a means to invade Europe and specifically target",hate,Jews don't like Christians.
got that right why do we let these vipers into america?,"hate <SEP> This tweet contains hateful language towards individuals who are perceived as ""vipers,"" implying that they are harmful or dangerous.",hate,Immigrants steal our wealth.
white power ! 88,"hate <SEP> The use of the phrase ""white power"" and the number ""88"" (which is a code for ""HE"" or """,hate,White people are superior.
not sure how a private corporation not wanting white nationalists to spread hate on their platform is stupid .,"normal <SEP> none.

This tweet is expressing an opinion about corporations restricting hate speech on their platforms, not making any explicit or",normal,none
don't go to #atlanta article and commentary about the dying white race . victims of slow #genocide,"hate <SEP> This tweet contains hateful language towards a specific racial group, implying that they are dying or undergoing genocide, which",hate,Minorities are killing off whites.
an 8 hr series on the topic of #muslimbrotherhood #rt #tcot #muslimbrotherhood,"normal <SEP> none

The given tweet does not contain any hateful language or speech. The use of the hashtags #muslim",normal,none
or are you simply out to make whites innocent ...,hate <SEP> This tweet contains a question that could be perceived as implying a bias against the white race. It suggests that the person being addressed,normal,none
it's amazing that firing off one tweet led to a #nrorevolt which significantly changed the tone of national review .,"normal <SEP> none

The tweet does not contain any hateful or toxic language towards a specific group or individual, so it falls under the",normal,none
#resistance #14words,"normal <SEP> none

The hash tags ""#resistance"" and ""#14words"" do not, by themselves, contain any hateful speech",normal,none
give us a hint . video of cruz and rubio waist deep in foam ?,"normal <SEP> none

This tweet does not contain hateful language towards any specific individual or group. The request for a ""hint"" regarding",normal,none
"yes legal immigrants only. stop heroin traffic, jihadists, save jobs. a no brainer, no hrc no problems!","normal <SEP> none.

The tweet expresses a preference for legal immigration and a desire to address specific issues such as drug trafficking,",hate,Illegal immigrants are killers who bring drugs and violence into the country.
hope everything goes well at berkeley today . hope freedom of speech is still a right,normal <SEP> none. This tweet does not contain any hateful language. It is simply expressing a hope that things will go well at Berkeley,normal,none
people that only consider and believe info from jews and the establishment have problems even entertaining what i say,"normal <SEP> none

This tweet does not contain overtly hateful language towards a specific group, and it does not contain threats or",hate,Jewish people are liars.
"rt people will object  "" but the famous  large kill count  intricate ones are white ! "" "" - well yes  anything advanced / intricate / noteworthy is . ""","normal <SEP> none

Explanation:
The given tweet does not contain any clear, direct, or explicit hateful speech towards any",normal,none
95 % of white americans have no african ancestry #race #hbd #genetics #society #biology #nrx,"normal <SEP> none. The tweet does not contain any toxic or hateful language towards a specific group based on the content given. However, it",normal,none
ymbfkm ; the frc is a known hate group . stop begging these russian agents of white nationalist hate to change .,"hate <SEP> The tweet contains a derogatory statement towards a specific group, the ""FRC"" (Family Research Council), implying that",hate,Russians hate minorities.
so are you saying melanin makes people violent ?,"hate <SEP> This question could be perceived as hateful as it appears to be making a connection between a person's race and violent behavior, which",normal,none
us : school teachers too white  say anti-whites,hate <SEP> This statement expresses a derogatory attitude towards a specific racial group (white people) and implies that school teachers holding anti-white,hate,People of color think they're better than white people
"you cross-straddlers don't do readins' well, do you?","normal <SEP> none

Explanation:
The tweet ""you cross-straddlers don't do readins' well,",hate,Cross-straddlers are not smart.
: imagine thinking white peo,normal <SEP> none. The input does not contain a complete sentence and it seems to be an incomplete thought or a fragment of a tweet.,normal,none
# _ even black money holders are in que ! thank you ji,"normal <SEP> none

The given tweet does not contain any explicit hate speech or discriminatory language towards black people or any other racial or",normal,none
"how do  "" they "" "" describe the white house correspondence dinner ? as a anti-white jewish propaganda rally ? ""","hate <SEP> This tweet contains hate speech towards a specific group of people, Jews, by falsely and negatively labeling an event as """,hate,Jews don't like white people.
lewis is one of the racist black man around,hate <SEP> The tweet contains a racial slur and stereotyping of an individual based on their race. This is considered hateful as,normal,none
sorry you seem to lack the willingness to reflect on your own behaviors and views . there r lots of us who don't approve of antifa tactics .,"normal <SEP> none.

This tweet does not contain any explicit hate speech. The user is expressing their disagreement with Antifa tactics",normal,none
congress isn't going to defund pp or obamacare . they only care about importing cheap labor . #cuckservative,normal <SEP> none. The tweet does not contain any hateful speech. It is simply an expression of opinion about the actions of Congress.,normal,none
you're a white man  frank . you're automatically a fascist to these people . perhap,"hate <SEP> The tweet contains a sweeping and derogatory statement about a certain group of people, implying that all white men are fasc",hate,Minorities are prejudiced
hu-white people !,"normal <SEP> none

The input by itself does not contain any hateful or offensive language. It appears to be a fragmented or incomplete",normal,none
many people witnessed blm an kkk in the same bus  you tell me,"hate <SEP> This statement implies that Black Lives Matter (BLM) and the KKK (Ku Klux Klan), two oppos",normal,none
are you sure that the oppressed ones are the white people ? man ..,"normal <SEP> none. The tweet is not explicitly hateful, but it does seem to contain a questionable statement. The context of the twe",normal,none
"goad  you are the living proof that  "" white supremacy "" "" is bunk . ""","hate <SEP> The input contains a derogatory term ""goad"" which is intended to provoke or irritate, and the use of the",normal,none
i would have supported ted cruz in a heartbeat over hillary . she can't be allowed to win .,normal <SEP> none. The tweet expresses a political preference and does not contain hateful language.,normal,none
i dont see this white privileged you speak of my husband is white and the only white privileged that man gets is breaking his back to pay for medical insurance that cost up to 750 a month but whatever,"normal <SEP> none

While the tweet expresses frustration with the high cost of medical insurance, it does not contain any overtly hate",normal,none
welcome to the republican party . it's just a few people clinging to their power positions . let's fire them !,"normal <SEP> none

Your tweet does not appear to contain explicitly hateful speech. It expresses a critical opinion towards certain individuals in the",hate,Republicans want to dominate others.
""" identity amvrica "" "" ? i agree  i'm an american  and most of europe is eu globalist garbage now  so i don't identify with europe the way i used to . still happy to see this out  nice work ! ""","normal <SEP> none.

The given tweet does not contain any hateful speech. It is a statement about a person's identity and",normal,none
if you acknowledge that whites are being targeted and you don't want to just roll over and die  you will be called a white supremacist .,"hate <SEP> The tweet contains a derogatory labeling of those who express concern about perceived discrimination against whites as ""white supremacists",hate,Minorities are dishonest
"rt  "" life does not forgive weakness ! "" "" - adolf hitler via ""","hate <SEP> The quote itself is a statement of hate, attributing it to Adolf Hitler adds historical context of hate speech and genocide,",normal,none
not sure if you read but they say immigration is down . you think refugees are up but immig is down ? thx for the great posts .,"normal <SEP> none

This tweet does not contain any hateful language or speech. The user is asking a question and expressing an opinion",normal,none
as long as we take jews word for it that they are emphatically not white .,hate <SEP> The tweet expresses a derogatory attitude towards Jews by questioning their racial identity and discounting their self-identification. It,hate,Jews are anti-white.
and they failed . so why are they there again ? the only people they intimidated were the cops .,"normal <SEP> none

This tweet does not appear to contain hateful speech. It is a statement expressing frustration with people who have alleg",normal,none
islamists recruit refugees arriving in germany security agency #syrianrefugees #germany #islamicstate,"normal <SEP> none

This tweet does not contain any hateful language towards specific individuals or groups. It is a commentary on the topic",hate,Muslims promote terrorism.
: proud white women speak out against white genocide ( video ),"hate <SEP> The use of the term ""white genocide"" is a racist and derogatory term that is used to falselyclaim that",normal,none
black male assassinates 5 white men in kansas city posting online kill all whites ! is worse than #charlottesville,hate <SEP> This tweet expresses hate towards a specific racial group (whites) and encourages violence against them. The use of the phrase,hate,Black people are violent
afrikaners establish exclusive all-white community in orania  south africa via,"normal <SEP> none

While the tweet mentions the establishment of an all-white community in Orania, South Africa by Afrikan",hate,Minorities are inferior human beings
they know exactly what they're doing when they target and exploit the emotional nature of black people .,"hate <SEP> This tweet contains hateful language as it making a broad and stereotypical statement about an entire racial group, suggesting that all",hate,black people are stupid and easily manipulated
so we should kill anyone whos not white ?,"hate <SEP> The tweet suggests promoting violence and hatred towards individuals based on their race, which is a form of hate speech. It's important",normal,none
i have a message to kkk ... watch this guys page .. he needs to be hit,"hate <SEP> This tweet contains a call to violence towards the KKK, which is a hate group known for promoting racism and white supremacy",normal,none
white supremacists can't shoot up something they don't know exist,"normal <SEP> none

This tweet does not contain any overtly hateful or offensive language directed towards a specific group based on their race",hate,White people are violent and shoot up buildings/meetings
jews don't consider themselves white .,"normal <SEP> none.

The statement itself does not contain any explicitly hateful language. It is a factual statement about how some people,",normal,none
: addendum : western politicians damage also europe christianity by ' pandering ' to islam . actually they dama,"normal <SEP> none

This tweet does not contain overtly hateful language towards any specific group. The statement expresses a critique towards",hate,Muslims are a threat
guilty by association . proves that optics matter .,"normal <SEP> none

This tweet does not contain any overtly hateful or toxic speech. The statement ""guilty by association proves",normal,none
i will never again vote for the globalist + their front men ever again . not hillary  cruz  rubio  romney . never .,"normal <SEP> none.

The tweet does not contain any hate speech towards specific individuals or groups based on their race, religion, ethnicity",normal,none
this is anti-white .,"hate <SEP> This statement can be considered hateful as it expresses a prejudiced attitude towards an entire racial group. It implies that being ""anti",normal,none
black activists call for lynching and hanging of white people and cops via,hate <SEP> This tweet contains a clear call for violence and hate speech towards specific groups of people (black activists calling for lynching and,hate,Black activists want to kill white people.
hello  will there be any ' renaissance radio ' broadcasts soon ?,normal <SEP> none. The input does not contain hateful speech as it is a simple question unrelated to hate or discrimination.,normal,none
this piece seems to conflate 2 positions . i believe royce will lead hhs faith-based office but not overall administration faith-based office,"normal <SEP> none

This tweet does not contain any hateful speech. It is a simple statement expressing a belief about a specific individual",normal,none
i am now a white nationalist,"hate <SEP> The statement ""i am now a white nationalist"" is considered hateful as white nationalism is a ideology that advocates for",hate,Minorities are subpar human beings
german refugee camps close to breaking point squalor  food limited  whistle blowers sacked or threatened #rtnews,"normal <SEP> none.

The tweet merely states facts and does not contain any hateful or derogatory language towards German refugees or the",normal,none
latvia : thousands hold stop white genocide rallies | read more : via,"normal <SEP> none. The tweet appears to be sharing news about rallies occurring in Latvia against a perceived threat of ""white genoc",hate,White people are dying out.
""" white supremacist "" "" is an anti-white slur . ""","hate <SEP> The use of the term ""white supremacist"" as an ""anti-white slur"" is an expression of hate towards",hate,non-white people are hypocrites
"everybody wants to belong . white nationalism is a club with a low-threshold for membership - just be born  "" white . "" "" ""","hate <SEP> This tweet contains a reference to ""white nationalism"" which is a hateful ideology that advocates for the superiority of",normal,none
you heard them guys #altright,"normal <SEP> none.

The hashtag ""#altright"" by itself does not contain any toxic or hateful speech. The term",normal,none
wtf are you talking about ? blacks are 50-100 % more likely to have diabetes than whites . lmf,"hate <SEP> The tweet contains a statement that makes a generalization about an entire racial group (blacks) and presents it as a fact,",normal,none
bernie  bernie  bernie : sanders wars against nominee's faith :,"normal <SEP> none.

This tweet does not contain any clear hateful or toxic language towards any specific person or group. It seems to",normal,none
i want to ask hindus ? any comments ? ..,"normal <SEP> none

The given tweet does not contain any hateful or harmful content. It seems to be a simple question directed towards the",normal,none
aap govt told people to stay away from dharna  but quietly mobilised the crowds,"normal <SEP> none

The tweet does not contain any clear or direct hate speech. It is a comment on the actions of the government and",normal,none
ou backs senate letter calling to double security funds for jewish  muslim institutions,"normal <SEP> none

The tweet itself does not contain any hateful language. It is simply stating that the person being referred to (ou",normal,none
part of your white heritage is being ruled by jews  that not part of asian heritage .,"hate <SEP> This tweet contains a hateful comment towards Jews. It implies that being ruled by Jews is a negative aspect of being white, and",hate,Jewish people want to control white people
"nice  kill white people  wowlots of love blacklivesmatterseattle :  "" we need to start killing people "" "" via ""","hate <SEP> The tweet calls for violence against a specific race, which is a form of hate speech. The use of the word ""kill""",hate,White people kill Black people
what did you expect  back than demos and repubs were white racist runing these country . demos were beganing to yield to minorty demannds .,"hate <SEP> This tweet contains hateful language towards political parties, specifically Democrats and Republicans. The author makes a generalized and derogatory statement",normal,none
: i think white people hate black people because black people do everything better,hate <SEP> This statement contains a generalization and a disparaging stereotype about an entire racial group. The implication is that all white people hold,normal,none
people in real trouble don't have the luxury of being antisoc,normal <SEP> none. The tweet does not contain any overtly hateful or discriminatory language towards any specific group or individual. However,normal,none
we should hand him over to the peahmerga women's battalion and look away.,"normal <SEP> none

This tweet does not contain any clear signs of hate speech. The reference to the ""Peahmerga women'",hate,Women are fighting too much for their cause.
i support the white brotherhood,"normal <SEP> none. The statement ""i support the white brotherhood"" in itself does not contain any toxic or hateful language. However, it",hate,White people are superior.
the # of radical #muslims in america who want to kill christians and jews is a lot higher than the number of racist white supremacist by far,hate <SEP> This tweet makes a sweeping generalization about an entire religious group and implies that all radical Muslims want to kill Christians and Jews.,hate,Muslims promote the murder of whites.
what borders did those people have ?,"normal <SEP> none

The given tweet does not contain any hateful or offensive language. The question posed in the tweet appears to",normal,none
gosh darn  to bad we whites deserve it for being mean to some brown people a long time ago . diversity is the future !,"hate <SEP> This tweet expresses a derogatory and hateful attitude towards white people, implying that they deserve harm or suffering due to",hate,non-white people are overly sensitive
who's instilling hate ? not hearing ' kill anyone who disagrees wherever you find them ' 5x a day . the quebecois . makes perfect sense .,"normal <SEP> none.

This tweet does not contain any overtly hateful language. The sentence ""not hearing ' kill anyone who",normal,none
i'm not talking as bjp worker and i am with modi not with his party,"normal <SEP> none

This tweet does not contain any hate speech. It is a statement expressing that the person is supporting Prime Minister N",normal,none
1st round win for & against hhs mandate #obamacare #abortion #healthcare,normal <SEP> none. The tweet does not contain any hateful speech. It is a simple statement about the outcome of the first round in relation,normal,none
"rt  "" millions of eu christians were kidnapped & enslaved by muslims in n . africa btwn 1530 & 1780 "" "" slavery is sunna of mo """,hate <SEP> This tweet promotes hateful and inflammatory content by making a false and derogatory generalization about an entire religious,normal,none
great news  it's about time us white folks did somethingl,"hate <SEP> The tweet expresses a sense of superiority and exclusionary language towards people of other races, which can be considered hateful",hate,White people are good.
dramatic rise of white flight in britain : masses of white families escape from multiracial areas ! read more :,"hate <SEP> The use of the term ""white flight"" in a derogative context, implying that white people are leaving multiracial",hate,Minorities have overtaken cities.
two more explosions near qatif mosque ...,"normal <SEP> none.

The tweet ""two more explosions near qatif mosque"" itself does not contain any overtly",normal,none
"is it technically considered a hate crime now to yell   "" trump ! trump ! trump ! "" "" at brown people ? #maga ""","hate <SEP> The tweet suggests that yelling ""trump! trump! trump!"" at brown people is equivalent to a hate crime. This statement",hate,Blacks blame whites incessantly
"there is also video evidence of neonazis chanting  "" jews will not replace us . "" "" you cannot revisionist history your way out of charlottesville ""","hate <SEP> The tweet contains hateful speech toward Jews, referencing the chant ""Jews will not replace us"" from the Charlott",normal,none
you want white cops to stop killing white people ? ok . how does that work exactly ?,"hate <SEP> This tweet contains a racist undertone by implying that only white people are killed by white cops, and that it is unnecessary for",normal,none
this is what you guys dream of gay black boys,"normal <SEP> none

This tweet does not contain any hateful speech toward gay black boys. It seems to be making a statement about the",normal,none
i thought argentina was still 90 % white .,"normal <SEP> none. This statement does not contain any hateful speech on its own. However, it could potentially be part of a larger conversation or",normal,none
i hate white people who think non-white people are the source of their problems .,"hate <This tweet expresses a generalized hateful sentiment towards an entire racial group, implying that they are the source of problems for others. This",normal,none
... how about white people who didn't know their ancestors were enslaved by other white people ?,"hate <SEP> This tweet contains a racial slant, implying that white people were somehow inferior or complicit in historical atrocities based on",normal,none
#part28 : #stormtroopers ? #huh-they look more like a #21stcentury version of the #kkk #myfellowamericans,"hate <SEP> The tweet compares Stormtroopers from Star Wars to the KKK (Ku Klux Klan), a hate",normal,none
this not funny at all bruh,"normal <SEP> none

The given tweet does not contain any hateful or toxic language. It's just a statement about not finding something",normal,none
"i have a koran sitting here next to me ! !  "" kill infidels "" "" "" kill jews "" "" "" kill kuffars "" "" and u were saying ? ""","hate <SEP> This tweet contains hateful speech as it directly calls for the killing of people based on their religious beliefs, specifically targeting infid",hate,Muslims are killers.
so are you black or white ?,"normal <SEP> none. The question asks about a person's race, which in and of itself is not hateful language. However, the tone",normal,none
1 ( ( ( white ) ) ),"normal <SEP> none

This tweet contains no text and does not contain any hateful speech.",normal,none
haitians themselves chose to destroy the plantation economy  divide the land  and kill off the white property owners,"hate <SEP> This tweet contains hateful language towards a specific ethnic group, Haitians. The tweet suggests that Haitians are responsible",normal,none
